Nr,Success,Iteration,Total points,Tærskel,Minimum_inliers,Maximum_iterations,Found_inliers,Avg_Dist2,Time_spent,Added_outliers
34,True,7,299,5,280,200,299,0.2790175848803836,0.01805699999931676,0
35,True,2,299,5,280,200,298,0.8107647798431531,0.00698499999998603,0
36,True,0,299,5,280,200,291,0.4056405502933393,0.0023146000003180234,0
37,True,3,299,5,280,200,296,0.31133148755224826,0.00943829999960144,0
38,True,2,299,5,280,200,299,0.0990241200467893,0.00638989999970363,0
39,True,0,299,5,280,200,282,0.7278319642557829,0.0023586999996041413,0
40,True,1,299,5,280,200,296,0.7917495623355161,0.004265199999281322,0
41,True,0,299,5,280,200,299,0.16499967675325117,0.0023616000016772887,0
42,True,3,299,5,280,200,299,0.2912301411540785,0.008681500001330278,0
43,True,1,299,5,280,200,299,0.1527513558810513,0.004499299999224604,0
44,True,5,299,5,280,200,299,0.4379435363446351,0.01320540000051551,0
45,True,5,299,5,280,200,299,0.21715022339157045,0.013296999999511172,0
46,True,2,299,5,280,200,296,0.53268515940368,0.0064884999992500525,0
47,True,1,299,5,280,200,298,0.4091302940203642,0.00450020000062068,0
48,True,3,299,5,280,200,299,0.12588999922768102,0.008711500000572414,0
49,True,3,299,5,280,200,298,0.23646570989573884,0.00886510000054841,0
50,True,0,299,5,280,200,299,0.3507197576680212,0.002281799999764189,0
51,True,2,299,5,280,200,290,0.7882296713786571,0.0066686999998637475,0
52,True,1,299,5,280,200,299,0.08435864940423776,0.004445099999429658,0
53,True,6,299,5,280,200,296,0.5380867902259293,0.014682799999718554,0
54,True,0,299,5,280,200,299,0.14113537120303407,0.002290599999469123,0
55,True,2,299,5,280,200,299,0.07625732975573297,0.006595700000616489,0
56,True,2,299,5,280,200,296,0.5109443897843697,0.006607299999814131,0
57,True,2,299,5,280,200,298,0.22610985709993825,0.0064497000003029825,0
58,True,0,299,5,280,200,288,0.4008875676679551,0.002265099999931408,0
59,True,0,299,5,280,200,299,0.18769049314274705,0.0022950000002310844,0
60,True,0,299,5,280,200,287,1.0185068516230624,0.0026199999992968515,0
61,True,0,299,5,280,200,299,0.07430031564838255,0.002294600000823266,0
62,True,3,299,5,280,200,299,0.35444295688079835,0.0089083999991999,0
63,True,0,299,5,280,200,299,0.2932764794561876,0.002299499999935506,0
64,True,0,299,5,280,200,296,0.4943064135567573,0.0023383999996440252,0
65,True,0,299,5,280,200,299,0.3184124136204314,0.0022884000009071315,0
66,True,4,299,5,280,200,299,0.33725264887937445,0.010828000000401516,0
67,True,0,299,5,280,200,299,0.21964722612133844,0.0023283999998966465,0
68,True,2,299,5,280,200,299,0.2586255061399549,0.006485400001110975,0
69,True,0,299,5,280,200,297,0.6977781873750735,0.0022742999990441604,0
70,True,3,299,5,280,200,299,0.20926754351623478,0.008799100000032922,0
71,True,1,299,5,280,200,285,1.0154951645765948,0.004208300000755116,0
72,True,0,299,5,280,200,291,0.7907650789860163,0.0022884999998495914,0
73,True,1,299,5,280,200,299,0.10218946354833909,0.004562099999020575,0
74,True,4,299,5,280,200,284,0.5760681351723075,0.010489400001461036,0
75,True,3,299,5,280,200,286,0.9538958641612331,0.008839199999783887,0
76,True,3,299,5,280,200,299,0.20167822331224583,0.009200500000588363,0
77,True,0,299,5,280,200,299,0.19534454132197215,0.002345400000194786,0
78,True,3,299,5,280,200,299,0.21158585677306255,0.010301699998308322,0
79,True,1,299,5,280,200,299,0.43286049904585067,0.005620600000838749,0
80,True,0,299,5,280,200,298,0.21173689965527606,0.0033260000000154832,0
81,True,1,299,5,280,200,283,0.3909573837793165,0.006103000001530745,0
82,True,1,299,5,280,200,299,0.10207630444898852,0.005327900000338559,0
83,True,0,299,5,280,200,287,0.5348051590231,0.002446599999530008,0
84,True,1,299,5,280,200,298,0.3313845829778988,0.004807900000741938,0
85,True,1,299,5,280,200,299,0.3088566503397863,0.004570900000544498,0
86,True,1,299,5,280,200,299,0.09857031033838001,0.004715799999758019,0
87,True,2,299,5,280,200,299,0.13382778710274518,0.006756600001608604,0
88,True,0,299,5,280,200,297,0.6014536999111606,0.0023356000001513166,0
89,True,2,299,5,280,200,299,0.2214525478351826,0.006457100000261562,0
90,True,0,299,5,280,200,284,0.6460414983014071,0.0023283999998966465,0
91,True,2,299,5,280,200,284,0.7191888223046674,0.0067739000005531125,0
92,True,3,299,5,280,200,299,0.22069631487169192,0.008968600001026061,0
93,True,6,299,5,280,200,299,0.1894984507013956,0.01475860000027751,0
94,True,0,299,5,280,200,299,0.10886037116007091,0.0024978000001283363,0
95,True,0,299,5,280,200,299,0.1560675495792007,0.002449900001010974,0
96,True,3,299,5,280,200,299,0.2909655890260611,0.008921500000724336,0
97,True,1,299,5,280,200,296,0.4937733146741589,0.004638500000510248,0
98,True,0,299,5,280,200,298,0.559557730713754,0.002347699999518227,0
99,True,0,299,5,280,200,299,0.3624427144681944,0.0023455999998986954,0
100,True,50,399,5,280,200,287,0.49443429328023375,0.13445990000036545,100
101,True,17,399,5,280,200,288,0.39977020733234053,0.047527200000331504,100
